,Dataset,Word,Count
0,Susan B. Anthony Papers,mrs,4240
1,Susan B. Anthony Papers,wea,2802
2,Susan B. Anthony Papers,ther,2787
3,Susan B. Anthony Papers,mrs.,2266
4,Susan B. Anthony Papers,go,2138
5,Carrie Chapman Catt Papers,woman,14461
6,Carrie Chapman Catt Papers,mrs.,8863
7,Carrie Chapman Catt Papers,new,6889
8,Carrie Chapman Catt Papers,come,5967
9,Carrie Chapman Catt Papers,man,5674
10,Elizabeth Cady Stanton Papers,woman,6103
11,Elizabeth Cady Stanton Papers,man,3693
12,Elizabeth Cady Stanton Papers,right,1990
13,Elizabeth Cady Stanton Papers,law,1787
14,Elizabeth Cady Stanton Papers,day,1626
15,Mary Church Terrell: Advocate for African Americans and Women,mrs.,75705
16,Mary Church Terrell: Advocate for African Americans and Women,woman,46059
17,Mary Church Terrell: Advocate for African Americans and Women,colored,28717
18,Mary Church Terrell: Advocate for African Americans and Women,man,27897
19,Mary Church Terrell: Advocate for African Americans and Women,new,26542
